club,location,state,county,status,acreage,track_miles,track_configs,year_opened,membership_cap,members_current,membership_tier,initiation_fee_usd,annual_dues_usd,dues_inclusions,real_estate_required,garage_condo_price_usd,garage_condo_sf,garage_condo_psf,garage_condo_units,homesite_or_villa_price_usd,season_days_published,absorption_note,confidence,source_url,source_date,accessed,note
Atlanta Motorsports Park,Dawsonville,GA,Dawson,Operating,,2.0,1,2012,,,Karting,3500,,,NO,,,,,,,,Third-Party (2ndary retrieval),https://www.atlantamotorsportspark.com/membership/,undated,2026-08-06,"Operator page publishes 'initiation fees starting at only 3,500' for karting and 'starting at only 12,500' for main circuit but does NOT publish dues. Dues are the missing number at AMP and a call to (678) 381-8527 would close it."
Atlanta Motorsports Park,Dawsonville,GA,Dawson,Under construction,,2.0,1,2012,,,Motor Club Circuit Villas,,,,NO,,,,,,,"Broke ground 2025; three-story, 2BR/1.5BA with ground-floor two-car glass-door garage; marketed for short-term rental",Unverified,https://atlantaagentmagazine.com/2025/09/11/amp-motor-club-circuit-villas/,2025-09-11,2026-08-06,"PRICING NOT PUBLISHED for the villa phase. This is the closest live analogue to the model's homesite component and its price point is the number worth chasing."
Spring Mountain Motor Resort,Pahrump,NV,Nye,Operating,,9.0,50,2004,,,Charter,75000,6000,"Initiation raised from 60000; last hike reported 2021.",NO,350000,,,80,350000,,,Third-Party (2ndary retrieval),https://www.thespeedjournal.com/spring-mountain-motor-resort-country-club/,undated,2026-08-06,"'Over 9 miles of road course with more than 50 available configurations' is an operator claim aggregating every layout, not a single circuit length - do NOT use 9.0 miles in a members-per-track-mile calculation without discounting it. 80 lots for private condos from 350000. TOTAL ACREAGE NOT PUBLISHED. Charter memberships trade on enthusiast forums at a discount, which is a soft signal on secondary-market value."
Club Motorsports,Tamworth,NH,Carroll,Operating,,2.5,1,2018,,300,Bronze,15000,1500,10 days of course access per year. Road-course days do not accrue year to year.,NO,,,,,,150,"Nearly 300 members entering its first summer (2018)",Third-Party (2ndary retrieval),https://www.laconiadailysun.com/news/local/new-tamworth-race-track-enters-first-summer-with-nearly-300-members/article_53420d50-805c-11e8-a134-177f63dd24fb.html,2018-06,2026-08-06,"NORTHEAST SEASON EVIDENCE: 150 member days per year is the only published season figure for a Northeast club I could find, and it is 29% below the model's 210-day Northeast baseline. Tamworth NH is colder than Long Island, so 150 is a floor rather than a read-through - but it is a published number and the 210 is not."
Club Motorsports,Tamworth,NH,Carroll,Operating,,2.5,1,2018,,300,Silver,25000,2500,Access reported at 150 days a year.,NO,,,,,,150,,Third-Party (2ndary retrieval),https://robbreport.com/motors/cars/private-race-track-guide-club-motor-cars-porsche-aston-martin-eg18-2824163/,2018-10,2026-08-06,"Robb Report 2018 vintage; attribution between Palmer and Club Motorsports is muddled across secondary aggregators and I flag that rather than pick. Platinum tier limited to the first 50 paid memberships. Current rate card exists at clubmotorsports.com/_pdfs/ClubMembershipPricing.pdf but would not load in this environment."
Club Motorsports,Tamworth,NH,Carroll,Operating,,2.5,1,2018,,,Real estate program,,,,NO,,,,,,,"Trackside condos PLANNED with additional plots on the mountain; nothing built or priced publicly",Unverified,https://clubmotorsports.com/membership/,undated,2026-08-06,"Announced only. A Northeast club that opened in 2018 and has still not delivered a priced for-sale garage product is directly relevant risk evidence for this project's merchant-build assumption."
Palmer Motorsports Park,Palmer,MA,Hampden,Operating,,2.3,1,2015,,,Entry,22500,2500,30-plus days of driving annually.,NO,,,,,,,,Third-Party (2ndary retrieval),https://robbreport.com/motors/cars/private-race-track-guide-club-motor-cars-porsche-aston-martin-eg18-2824163/,2018-10,2026-08-06,"2018 vintage. A 2023 forum account describes two levels at 15000 and 25000 initiation with 3000-4000 dues, which is consistent. 190 feet of elevation change; home of Whiskey Hill Raceway. NO for-sale real estate component. ACREAGE NOT PUBLISHED."
Lime Rock Park - Drivers Club,Lakeville (Salisbury),CT,Litchfield,Operating,,1.5,1,1957,,,Drivers Club,16500,3630,Up to 60 days of track time annually. Reciprocals with Thompson and Palmer.,NO,,,,,,60,,Third-Party (2ndary retrieval),https://www.gearpatrol.com/cars/a143304/inside-lime-rock-drivers-club/,2021,2026-08-06,"CONFLICT: an older account reports a 55000 membership with 3600 dues. I would underwrite to 16500/3630 because it is the more recent figure and because a 55000 initiation is inconsistent with Lime Rock's 1.5-mile club-day product. The conflict itself is the point - Lime Rock repriced DOWN, which is the only observed downward initiation move in the set."
Thompson Speedway Motorsports Park,Thompson,CT,Windham,Operating,,1.7,1,2013,,,Club,,,"30-plus private track days annually; exclusive road-course use 30 days/yr; club membership runs a 10-YEAR TERM; annual dues set each December, payable by April 1, with a 500 discount for payment by Dec 31.",NO,,,,,,30,,Unverified,https://www.thompsonspeedway.com/thompsons-track-pass/,undated,2026-08-06,"DUES AMOUNT NOT PUBLISHED and no initiation fee is disclosed. The operator states the all-in works out to 'less than 150 per day for track time, garage space, food and beverage' across 30 days, which implies annual cost UNDER 4500 - that is an inference from an operator marketing claim, not a rate. 11-turn, 1.7-mile road course. RESEARCH TASK: (860) 923-2280."
New Jersey Motorsports Park,Millville,NJ,Cumberland,Operating,500,2.25,2,2008,,,Drivers Club,0,20000,"More than 35 track days a season. No initiation fee disclosed - this is a DUES-ONLY club. A Black Friday promotion offered 50% off at 10000.",NO,62500,500,125,,,,"Exotic Car Garages have run through NINE phases in ~15 years; Phase III sold out and further phases followed; Phases VIII and IX broke ground spring 2024 as two 10,500 SF buildings of seven 1,500 SF units each",Third-Party (2ndary retrieval),https://njmp.com/exotic-car-garages/,undated,2026-08-06,"Thunderbolt 2.25 mi and Lightning 1.9 mi. garage psf 125 and base price 62500 are PRE-CONSTRUCTION HISTORIC figures, not current - current Phase VIII/IX pricing is NOT PUBLISHED and the operator directs buyers to call (856) 327-7248. NJMP IS THE CRITICAL ABSORPTION COMP FOR THIS PROJECT: ~14 units delivered across two phases fifteen years into the program is roughly 10-15 units/yr, against the model's assumed 23/yr. It is also the only large Northeast club with a 500+ acre footprint and a working for-sale garage program."
MotorSport Ranch Cresson,Cresson,TX,Hood,Operating,,,,1998,,,Regular,4700,1800,"150/month plus tax. Half-hour session 25. Garage RENTAL optional at 345/month - garages are leased, not sold.",NO,,,,,,,,Operator-Claim (2ndary retrieval),https://motorsportranch.com/pricing/,undated,2026-08-06,"The floor of the national comp set and the clearest evidence that 'private motorsport club' spans two orders of magnitude of price point. Garages are RENTAL - there is no for-sale stack here at all."
MotorSport Ranch Cresson,Cresson,TX,Hood,Operating,,,,1998,,,Executive,12500,1200,100/month plus tax. Half-hour session 20. Garage rental 320/month.,NO,,,,,,,,Operator-Claim (2ndary retrieval),https://motorsportranch.com/pricing/,undated,2026-08-06,"Note the inversion: the higher-initiation tier carries LOWER dues and lower per-session pricing. An explicit upfront-for-recurring trade priced by the operator - 7800 of extra initiation buys 600/yr of dues relief plus session discounts, i.e. a ~13-year payback."
MSR Houston,Angleton,TX,Brazoria,Operating,,,,2004,,,,,,,,,,,,,,,UNRESEARCHED,,,2026-08-06,"NO DATA ESTABLISHED. Searches did not surface a current published rate card or garage pricing. RESEARCH TASK: msrhouston.com membership page and a call to the club."
Iron Gate Motor Condos,Naperville,IL,DuPage,Operating - sold out,,0,0,,,,No club membership - condominium only,,,,YES (purchase is the product),129000,,227,185,,,"185+ units, officially SOLD OUT; expanding with 21 additional units in 2026; pricing across its history ranged 129000 to 1,000,000+",Third-Party (2ndary retrieval),https://www.onlygaragecondos.com/blog/illinois-6-garage-condos-for-sale-emphasizing-this-hot-real-estate-trend,2026,2026-08-06,"CORRECTION TO THE BRIEF: Iron Gate Motor Condos is in NAPERVILLE, ILLINOIS, not Vermont. It has NO racetrack. That makes it the single most useful control in the set: it isolates what garage-condo product sells for with the track amenity stripped out. Realized band 227-386 psf. If a Chicago-suburb garage condo with no circuit clears 227-386 psf, the track premium embedded in the model's 530 psf has to be demonstrated, not assumed."
Motorsports Gateway Howell,Howell,MI,Livingston,Under construction,,,,,,,Non-residential,40000,7500,"'More than 40,000 due up front as part of a one-time initial fee.'",NO,515000,,,,,,"First phase nearing completion",Third-Party (2ndary retrieval),https://www.aol.com/motorsports-gateway-howell-development-nearing-080223963.html,undated,2026-08-06,"Garage condo pricing 'starts at just over 515,000'. UNIT SIZE NOT PUBLISHED, so no psf can be derived - do not infer one. Useful as the newest ground-up US comp with both a club and a for-sale garage stack."
The Club at Mount Meridian,Mount Meridian (Greencastle),IN,Putnam,Operating,,,,,,,,,,"Members have free use of new garages during Club Member Track Days - garages are an amenity, not a product.",NO,,,,,,,,UNRESEARCHED,https://www.theclubcc.com/,undated,2026-08-06,"NO PRICING PUBLISHED for membership, garages or real estate. Located at 5251 S. County Road 550 E, Mount Meridian, IN 46135, adjacent to Putnam Park. RESEARCH TASK: direct inquiry."
Motorsports Country Club of Cincinnati,Batavia,OH,Clermont,Operating,,,,,,,,,,,NO,,,,,,,,UNRESEARCHED,https://mcckarting.com/,undated,2026-08-06,"NO PRICING PUBLISHED. The facility appears to be a karting complex (MCC Kartplex) rather than a road-course country club, so it may not belong in this comp set at all. Separately, a '175-acre F1-style motorsport club: massive development potential' is listed for sale through Transworld Business Advisors / BizQuest; I could NOT confirm it is this asset and will not assert it."
Emerald Coast Motor Club,DeFuniak Springs,FL,Walton,Proposed - entitled,751,3.25,,,,,,,,,NO,,,,,,,"Received unanimous Conditional Land Use approval October 2024",Third-Party (2ndary retrieval),https://www.emeraldcoastmotorclub.com/,undated,2026-08-06,"751 acres, 3.25-3.3 mile splittable FIA Grade 2 course, karting complex, and PLANNED trackside two-story garage condos buildable for overnight stays. NO MEMBERSHIP OR CONDO PRICING PUBLISHED. Organized local opposition exists at scrapthetrackindefuniak.org - the best live example in the set of the entitlement risk this project's 33-month entitlement assumption is trying to price."
Utah Motorsports Campus,Grantsville (Tooele),UT,Tooele,Operating - public/mixed,511,4.5,,2006,,,Multi-level club membership,,,"Club membership program exists with multiple levels; PRICING NOT PUBLISHED. Facility also runs public Open Track Days.",NO,,,,,,,,Third-Party (2ndary retrieval),https://en.wikipedia.org/wiki/Utah_Motorsports_Campus,undated,2026-08-06,"PUBLIC/MIXED - not a private club comp, but the single best ASSET-VALUE comp in the set: Tooele County voted 2015-10-13 to sell the facility (then Miller Motorsports Park) to Mitime Investment and Development Group, a Geely subsidiary, for 20,000,000, closing 2015-10-31. That is 511 acres WITH a complete 4.5-mile circuit, karting track, 8-acre rock crawl, 7-acre skidpad and 22-acre off-road course at 39,139 per acre all-in. It bears directly on the roadmap's acquisition-led growth path: built circuits have traded far below replacement cost."
The Ridge Motorsports Park,Shelton,WA,Mason,Operating - public/mixed,,,,2012,,,,,,,NO,,,,,,,,UNRESEARCHED,,,2026-08-06,"Flagged public/mixed in the brief. Not researched - no membership or real-estate product identified that would make it a comp for a for-sale club."
