no,name,cited_for,url,accessed,tier,confidence,note
12,"Atlanta Motorsports Park (Dawsonville, GA) — Urbanize Atlanta and Atlanta Magazine","Trackside condos priced from $225,000 for 640 SF shells (= $352/SF derived), units 640–1,280 SF and combinable, two-story with ~30 ft ceilings. All but eight of the 45 condos in phases 1–2 spoken for; phases 1, 2 and 3 subsequently sold out; $8M of condos sold in two months. 2.0-mile Hermann Tilke circuit, opened 2012; 212 private garages reported waitlisted. Main Circuit membership initiation from $12,500, karting from $3,500 — DUES NOT PUBLISHED. Motor Club Circuit Villas broke ground 2025, pricing not published.",https://atlanta.urbanize.city/post/priced-225k-condos-overlooking-racetrack-are-selling-out,2026-08-06,Local development press,Third-Party — secondary retrieval,"$352/SF is DERIVED and these are SHELL units — buyer finishes the interior, so it is NOT comparable to a finished-product $530/SF. Together with Apex's $344/SF this establishes that operating new-build track garage condos price at roughly the model's ASSUMED HARD COST of $350/SF. The fastest absorption in the set, but on a $225,000 unit — velocity at $225,000 does not underwrite velocity at the model's $954,000 average unit. Acreage and dues are the missing figures."
13,"New Jersey Motorsports Park (Millville, NJ) — operator page and Roadracing World","500+ acres; Thunderbolt (2.25 mi) and Lightning (1.9 mi) circuits; opened 2008. Drivers Club is DUES-ONLY at ~$20,000/yr for 35+ track days with no disclosed initiation (a Black Friday promotion offered 50% off at $10,000). Exotic Car Garages: units 1,000–3,000 SF; pre-construction pricing from $125/SF with a $62,500 base (HISTORIC). Programme has run through NINE phases in ~15 years; Phase III sold out and further phases followed; Phases VIII and IX broke ground spring 2024 as two 10,500 SF buildings of seven 1,500 SF units each.",https://njmp.com/exotic-car-garages/,2026-08-06,Operator page + trade press,Operator-Claim — secondary retrieval,"THE CRITICAL ABSORPTION COMP. Closest structural analogue available: a 500+ acre Northeast facility with an operating for-sale garage programme in a comparable tax and entitlement environment. Fourteen units across two phases fifteen years into the programme is ~10–15 units/yr, against the model's assumed 23/yr. Current Phase VIII/IX pricing is NOT PUBLISHED — operator directs buyers to (856) 327-7248. The $125/SF is historic and must not be used as a current comp."
14,"Club Motorsports (Tamworth, NH) — Laconia Daily Sun and operator membership page","2.5-mile road course, 15 turns, 250+ feet of elevation change; opened 2018 with nearly 300 members entering its first summer. Bronze $15,000 initiation / $1,500 annual dues for 10 course days; Silver reported at $25,000 / $2,500; Platinum limited to the first 50 paid memberships. Road-course days do not accrue year to year. Trackside condos PLANNED with additional plots on the mountain — nothing built or priced publicly. Open to members 150 days a year.",https://www.laconiadailysun.com/news/local/new-tamworth-race-track-enters-first-summer-with-nearly-300-members/article_53420d50-805c-11e8-a134-177f63dd24fb.html,2026-08-06,Local press + operator page,Third-Party — secondary retrieval,"NORTHEAST SEASON EVIDENCE: 150 days is the ONLY published facility-day figure for a Northeast club and is 29% below the model's 210-day baseline. Tamworth is colder than Long Island so 150 is a floor, not a read-through — but 150 is published and 210 is not. Also the clearest Northeast merchant-build warning in the set: a club that opened in 2018 has still not delivered a priced for-sale garage product. Current rate card exists at clubmotorsports.com/_pdfs/ClubMembershipPricing.pdf but would not load (HTTP 403)."
15,"Lime Rock Drivers Club (Lakeville, CT) — Gear Patrol","Drivers Club $16,500 initiation / $3,630+ annual dues for up to 60 days of track time annually on the 1.5-mile circuit; reciprocals with Thompson Speedway and Palmer Motorsports Park.",https://www.gearpatrol.com/cars/a143304/inside-lime-rock-drivers-club/,2026-08-06,Consumer trade press,Third-Party — secondary retrieval,"CONFLICT: an older account reports a $55,000 membership with $3,600 dues. I would underwrite to $16,500/$3,630 as the more recent figure and because $55,000 is inconsistent with a 1.5-mile club-day product. The conflict is itself the finding — Lime Rock repriced DOWN, the only observed downward initiation move in the comp set. At 22.0% its dues-to-initiation ratio is one of only two in the set at or above the model's 22.7%."
16,"Spring Mountain Motor Resort (Pahrump, NV) — The Speed Journal","Charter membership: $60,000 one-time fee plus $6,000 annual, with the initiation since raised to $75,000 (last hike reported 2021). 'Over 9 miles of road course with more than 50 available configurations.' 80 lots for private condos starting at $350,000.",https://www.thespeedjournal.com/spring-mountain-motor-resort-country-club/,2026-08-06,Enthusiast trade press,Third-Party — secondary retrieval,"The '9 miles' is an operator claim aggregating every layout, NOT a single circuit length — do not use it in a members-per-track-mile calculation without discounting it. Total acreage NOT PUBLISHED. At 8.0% its dues-to-initiation ratio is the lowest in the set. Charter memberships trade on enthusiast forums at a discount, a soft negative signal on secondary-market membership value."
17,"MotorSport Ranch (Cresson, TX) — operator pricing page","Regular membership: $4,700 initiation, $150/month dues (= $1,800/yr), $25 half-hour session, optional garage RENTAL $345/month. Executive membership: $12,500 initiation, $100/month dues (= $1,200/yr), $20 half-hour session, garage rental $320/month.",https://motorsportranch.com/pricing/,2026-08-06,Operator (primary),Operator-Claim — secondary retrieval,"The floor of the national comp set and proof that 'private motorsport club' spans two orders of magnitude of price point. Garages are RENTAL — there is no for-sale stack. Note the explicit upfront-for-recurring trade the operator prices: $7,800 of extra initiation buys $600/yr of dues relief plus session discounts, a ~13-year payback that corroborates the model's 12-year expected_tenure_years."
18,"Iron Gate Motor Condos (Naperville, IL) — OnlyGarageCondos","185+ units, officially SOLD OUT, expanding with 21 additional units in 2026. Pricing across its history ranged $129,000 to $1,000,000+; realized price per square foot $227 to $386.",https://www.onlygaragecondos.com/blog/illinois-6-garage-condos-for-sale-emphasizing-this-hot-real-estate-trend,2026-08-06,Specialist brokerage newsletter,Third-Party — secondary retrieval,"CORRECTION TO THE BRIEF: Iron Gate Motor Condos is in NAPERVILLE, ILLINOIS, not Vermont, and has NO racetrack. That makes it the most useful CONTROL in the set — it isolates what garage-condo product sells for with the track amenity stripped out. If a Chicago-suburb garage condo with no circuit clears $227–$386/SF, the track premium embedded in the model's $530/SF has to be demonstrated, not assumed."
19,Arizona garage condo market report — OnlyGarageCondos,"Entry-level units (1,000–1,200 SF) $300,000–$380,000; mid-size (1,200–1,600 SF) $450,000–$650,000; premium (1,800+ SF) $700,000–$1,000,000+. Standard inventory ranges roughly $185 to $450 per square foot; premier Scottsdale resales recently past $630/SF. 36 garage condo developments across 13 Arizona cities, ~2,400+ total units.",https://onlygaragecondos.substack.com/p/arizona-garage-condo-market-update,2026-08-06,Specialist brokerage newsletter,Third-Party — secondary retrieval,"Market-level context for the $/SF band, used in findings §4 to bracket the model's $530/SF. Note the premium band (1,800+ SF, the model's average unit size) prices at $700,000–$1,000,000+, which straddles the model's $954,000 average unit — the model's unit price is defensible in ARIZONA, which is not where the lead site is."
20,"Phoenix industrial sale pricing, Q2 2026 — Colliers Phoenix CRE Brief and CBRE Phoenix Industrial Figures","Recorded Phoenix-metro industrial trades: Surprise 453,960 SF at $140.74/SF; infill airport-adjacent Phoenix manufacturing 174,800 SF at $252.57/SF; West Valley distribution 1.2M SF at ~$122.50/SF; Phelan Business Park 26,900 SF at ~$283/SF. Q2 2026 vacancy tightened 70bp to 9.6% on 4.7M SF of net absorption.",https://www.colliers.com/en/news/phoenix/the-phoenix-cre-brief-jul-16-2026,2026-08-06,Institutional brokerage research,Third-Party — secondary retrieval,"THE FLEX-SPREAD TEST, matched-submarket. Apex's $344/SF garage condo against Phoenix small-bay infill at $252–$283/SF is a spread of 1.2x–1.4x, NOT 3x. The only way to reach 3x is to compare against bulk distribution at $122–$147/SF, which is not the alternative use for a trackside garage buyer. These are closed TRADES, not askings, which makes this the most reliable flex data point in the file."
21,Long Island / Suffolk County industrial and flex pricing — LoopNet and Realmo listing aggregators,"Long Island industrial properties for sale averaging ~$509/SF. Suffolk County flex space for sale: 36 listings totalling 235,051 SF at an estimated $63,260,000 market value (= ~$268/SF derived).",https://www.loopnet.com/search/industrial-properties/long-island-ny/for-sale/,2026-08-06,Listing aggregator,Inferred,"ASKING-PRICE AVERAGES, mixing product types and sizes — Inferred, NOT trades. Recorded because it produces the sharpest contradiction in the findings: at the lead site's submarket, the model's $530/SF garage condo is 1.04x the local industrial asking average and 1.98x the flex average. There is no 3x spread to harvest on Long Island. MUST be replaced with CoStar 5,000–20,000 SF small-bay SALE comps, trailing 24 months, before this finding is relied upon."
22,"Utah Motorsports Campus (Grantsville, UT) — Wikipedia","511-acre facility with a 4.5-mile multi-configuration road course, 0.9-mile karting circuit, 8-acre rock crawl, 7-acre skidpad, 22-acre off-road short course and a rallycross course. Tooele County voted 2015-10-13 to sell the facility (then Miller Motorsports Park) to Mitime Investment and Development Group, a Geely subsidiary, for $20,000,000; Mitime took possession 2015-10-31.",https://en.wikipedia.org/wiki/Utah_Motorsports_Campus,2026-08-06,Tertiary encyclopedia,Third-Party — secondary retrieval,"Public/mixed, so not a private-club pricing comp — but the best ASSET-VALUE comp in the file. 511 acres WITH a complete 4.5-mile circuit at $39,139/acre all-in, far below replacement cost. Bears directly on model/roadmap.py's finding that acquisition-led growth reaches listing scale in year 12 versus year 22 ground-up: built circuits have traded cheap. A county-records confirmation of the deed and consideration would upgrade this to Verified."
23,"Emerald Coast Motor Club (DeFuniak Springs, FL) — operator site and opposition group","751-acre proposed motorsport country club with a 3.25–3.3 mile splittable FIA Grade 2 road course, karting complex, and PLANNED trackside two-story garage condos buildable for overnight stays with kitchens, bathrooms and rooftop terraces. Received unanimous Conditional Land Use approval October 2024. Organized local opposition operates at scrapthetrackindefuniak.org.",https://www.emeraldcoastmotorclub.com/,2026-08-06,Operator + opposition group,Operator-Claim — secondary retrieval,"NO MEMBERSHIP OR CONDO PRICING PUBLISHED — the project is pre-launch. Recorded for two reasons: it is the newest US ground-up programme at this scale and its pricing will become the best available comp once released, and the documented organized opposition is the best live example in the set of the entitlement risk that roadmap.entitlement_months: 33 is trying to price."
24,"Motorsports Gateway (Howell, MI) — AOL/Livingston Daily","Garage condo pricing starts at just over $515,000. Non-residential memberships cost $7,500 annually with more than $40,000 due up front as part of a one-time initial fee. First phase nearing completion.",https://www.aol.com/motorsports-gateway-howell-development-nearing-080223963.html,2026-08-06,Local press,Third-Party — secondary retrieval,"UNIT SIZE NOT PUBLISHED, so NO price per square foot can be derived — do not infer one. Useful as the newest ground-up US comp carrying both a club and a for-sale garage stack, and as a mid-market dues-to-initiation datum at 18.8%."
25,"Riverhead Town Code — Noise, Article I",65 dBA daytime at a commercial or residential receiving property; 75 dBA industrial; 50 dBA residential at night; a motor vehicle is deemed to cause unreasonable noise at 80 dBA or more. Absolute by receiving-property category. Cited for TP-01-EPCAL.,"Riverhead Town Code — Noise, Article I",2026-08-06,Municipal code,Inferred,"Legal citation only. Direct URL retrieval was blocked environment-wide during this study, so the primary text was NOT read -- the citation was established through a search index of the publishing code site. Verify against the primary text before any figure derived from it reaches an IC memo."
26,Connecticut R.C.S.A. § 22a-69 — Control of Noise,Absolute daytime limits by emitter class to receptor class: Class C (industrial) to Class A (residential) 61 dBA; Class B to Class A 55 dBA; Class C to Class C 70 dBA; a further -5 dBA for sources exhibiting discrete tones. Cited for TP-03 and TP-05.,R.C.S.A. § 22a-69 (Connecticut DEEP),2026-08-06,State regulation,Inferred,"Legal citation only. Direct URL retrieval was blocked environment-wide during this study, so the primary text was NOT read -- the citation was established through a search index of the publishing code site. Verify against the primary text before any figure derived from it reaches an IC memo."
27,Connecticut R.C.S.A. § 22a-69-1.8 — motorsport exemption,"Exempts noise created by the use of property for conducting speed or endurance events involving motor vehicles, effective only during the periods the political subdivision authorises. DISPLACES the 61 dBA limit at TP-03 and TP-05 during authorised hours and makes the special-permit hours condition the operative noise entitlement.",R.C.S.A. § 22a-69-1.8,2026-08-06,State regulation,Inferred,"Legal citation only. Direct URL retrieval was blocked environment-wide during this study, so the primary text was NOT read -- the citation was established through a search index of the publishing code site. Verify against the primary text before any figure derived from it reaches an IC memo."
28,New Jersey N.J.A.C. 7:29 — Noise Control,"Continuous airborne sound from an industrial, commercial or community service facility at any residential property line: 65 dBA 7:00 a.m.-10:00 p.m.; 50 dBA overnight; 80 dBA maximum impulsive. Cited for TP-04-CUMBERLAND.",N.J.A.C. 7:29,2026-08-06,State regulation,Inferred,"Legal citation only. Direct URL retrieval was blocked environment-wide during this study, so the primary text was NOT read -- the citation was established through a search index of the publishing code site. Verify against the primary text before any figure derived from it reaches an IC memo."
29,Pinal County Ordinance No. 050306-ENO as amended by 031611-ENO-01,Adopted unincorporated-area noise ordinance. Classes are Residential / Commercial / Rural / Industrial; limits set by class and time of day and applied as Leq in Table 1. TABLE 1 NOT RETRIEVED — no dBA is recorded for TP-06-PINAL-303. Call Pinal County Planning & Development (520) 509-3555.,Pinal County Ord. 050306-ENO as amended,2026-08-06,County ordinance,Cited — figure NOT retrieved,"Legal citation only. Direct URL retrieval was blocked environment-wide during this study, so the primary text was NOT read -- the citation was established through a search index of the publishing code site. Verify against the primary text before any figure derived from it reaches an IC memo."
30,Marion County Code of Ordinances Ch. 13 — Noise and Vibration Control,§ 13-7 maximum permissible sound levels by land-use acoustic category; § 13-8 measurement procedure; § 13-10 prohibited acts. 65 dB(A) residential-use receiving property 7:00 a.m.-10:00 p.m. Cited for TP-08-MARION-OCALA.,"Marion County (FL) Code Ch. 13, §§ 13-7 / 13-8 / 13-10",2026-08-06,County ordinance,Inferred,"Legal citation only. Direct URL retrieval was blocked environment-wide during this study, so the primary text was NOT read -- the citation was established through a search index of the publishing code site. Verify against the primary text before any figure derived from it reaches an IC memo."
31,Clark County Code § 30.68.020 — Noise,"Within Ch. 30.68 Site Environmental Standards. Limits by time period and zoning district in Table 30.68-1, measured at all property lines at least four feet above ground — an emitter-side standard. TABLE 30.68-1 NOT RETRIEVED — no dBA is recorded for TP-11-APEX-NV. Call Clark County Comprehensive Planning (702) 455-4314.",Clark County (NV) Code § 30.68.020,2026-08-06,County ordinance,Cited — figure NOT retrieved,"Legal citation only. Direct URL retrieval was blocked environment-wide during this study, so the primary text was NOT read -- the citation was established through a search index of the publishing code site. Verify against the primary text before any figure derived from it reaches an IC memo."
32,"Cabarrus County Code of Ordinances Ch. 30, Art. II, § 30-27","65 dB 7:00 a.m.-10:00 p.m. and 55 dB overnight, measured from the property line of the SOURCE. Cited for TP-12-CABARRUS. Figures come from secondary compilations of § 30-27, not the primary text.","Cabarrus County (NC) Code Ch. 30, Art. II, § 30-27",2026-08-06,County ordinance,Inferred — secondary compilation,"Legal citation only. Direct URL retrieval was blocked environment-wide during this study, so the primary text was NOT read -- the citation was established through a search index of the publishing code site. Verify against the primary text before any figure derived from it reaches an IC memo."
