risk_id,category,description,applies_to_targets,severity,likelihood,evidence_basis,mitigant,cost_to_cure_low,cost_to_cure_high,gate,source_url
RR-11,Environmental,"Gopher tortoise relocation. Florida recipient-site permittees are reported charging up to $8,000-$10,000 per tortoise, up from roughly $900 when the relocation-agent market opened, driven by a shortage of recipient sites. Reported contribution schedules range $234 to $6,318 per tortoise (Dec 2023 snapshot). One Indian River County developer was reported facing approximately $2 million. Cost is linear in burrow count and burrow count on 460-590 acres of sandy Florida upland is unknowable from the desktop.",TP-08-MARION-OCALA;TP-15-HARDEE-PHOS,High,High,Reported,"Commission a pre-LOI burrow survey. A low-five-figure survey resolves a range that runs from six to seven figures — the highest-return diligence dollar in the Florida portfolio. Then route the circuit to minimise take and negotiate recipient-site capacity early, because capacity, not price, is the binding constraint.",15000,2000000,"Gate 3 — pre-LOI survey; permit and relocation before any site clearing.",https://veronews.com/2025/01/07/developer-may-have-to-shell-out-2m-to-relocate-gopher-tortoises/
RR-12,Environmental,"Acoustic mitigation capex is absent from every site cost premium in sites_targets.csv. Six targets sit within 2,600 ft of a residence. Palmer and Atlanta Motorsports Park both installed proprietary barrier systems AFTER opening, under court order and HOA pressure respectively — the most expensive way to buy anything. Monticello's town-commissioned 2013 study called for a barrier reported at approximately $1M.",TP-05-LITCHFIELD;TP-03-THOMPSON;TP-04-CUMBERLAND;TP-12-CABARRUS;TP-02-QUARRY-9W;TP-14-MAURY-QUARRY,High,High,Reported,"Berm before wall — FHWA guidance is that earthen berms work best and cost least, and four of these sites carry positive cut/fill balances that self-supply the material. Add an explicit barrier line to the site cost premium. Sourced ranges: $48.76/sf average (FHWA/VDOT, 2020-22 in 2022 dollars); $140/LF for a 10-ft wall, $185/LF at 12 ft, $235/LF at 14 ft; approximately $2M per linear mile for conventional highway noise wall. 5,000-15,000 LF of perimeter treatment implies the range below.",700000,6000000,"Gate 3 — design development, priced into the site cost premium before the underwriting is refreshed.",https://www.vdot.virginia.gov/media/vdotvirginiagov/doing-business/technical-guidance-and-support/environmental/noise/Average_Noise_Barrier_Cost_acc102422.pdf
RR-13,Title,"Severed mineral rights. Four targets carry severed minerals in the intake. In most jurisdictions the mineral estate is dominant and the holder may access the surface to extract. Under a fixed 4-mile circuit this is not a title exception that can be insured around and lived with — it is an existential surface-use problem.",TP-07-BRAZOS-XING;TP-11-APEX-NV;TP-14-MAURY-QUARRY;TP-15-HARDEE-PHOS,Severe,Moderate,Inferred,"Identify the mineral owner in the title commitment and negotiate a recorded surface waiver / non-disturbance agreement before closing. Where the owner cannot be identified or will not sign, the site is not developable as a circuit — this should be a hard gate, and it currently is not.",25000,250000,"Gate 4 — title commitment, pre-contract. Search, negotiation and consideration; kill criterion if unobtainable.",https://silblawfirm.com/real-estate-law/nuisance-law-in-texas/
RR-14,Environmental,"NC Brownfields land use restrictions. The recorded Notice of Brownfields Property carries liability protections AND land use restrictions that run with the land. Future owners inherit the restrictions and violation is the responsibility of whoever owns at the time. A motorsport circuit with residential and garage-condo components is a use change from textile-industrial. A restriction barring residential use, soil disturbance below a stated depth, or groundwater use would be fatal to the program and is not curable at any price.",TP-12-CABARRUS,Severe,Low,Adjudicated,"Pull the recorded Notice of Brownfields Property from the Cabarrus County Register of Deeds and read the land use restrictions. One-day document review, do it first. If the restrictions permit the program, this is the best-protected site in the pipeline: liability protection extends by statute to lenders, tenants, occupants and future owners who did not cause or contribute, converting open-ended cleanup exposure into defined liability.",2000,10000,"Gate 1 — records review, before anything else at this site. Kill criterion.",https://www.deq.nc.gov/about/divisions/waste-management/brownfields-redevelopment-section/program-information/brownfields-faqs
RR-15,Environmental,"Reclaimed phosphate radiological exposure. Published research on central Florida's phosphate district found elevated radon above 4 pCi/L in 8 of 27 homes built on reclaimed phosphate-mined land, and outdoor gamma levels significantly higher in reclaimed than unmined areas. The Florida Department of Health samples soil, air and water for gamma radiation, soil radon emanation and radium pre-mining and post-reclamation. Adjacent Manatee County requires reclaimed land to meet radiation standards under its Phosphate Mining Code. This is a residential sell-out and disclosure problem, not a construction problem.",TP-15-HARDEE-PHOS,High,High,Reported,"Commission radiological screening (gamma survey plus radon emanation) across the residential and clubhouse footprints before the land plan is fixed, and site vertical product on screened-clean areas. Specify radon-resistant construction in the residential and garage-condo product. Prepare the disclosure position with counsel — an undisclosed radiological history on a luxury homesite sale is a rescission risk.",40000,150000,"Gate 3 — before the land plan is fixed. Screening and construction detailing; disclosure drafting.",https://pubmed.ncbi.nlm.nih.gov/9577751/
RR-16,Environmental,"Capped landfill perpetual obligations. NJ closure requires a detailed description recorded with the deed — waste types, locations, depths, cover depth and type, dates of operation — plus notice that any future disruption of the closed landfill requires prior NJDEP approval. Caps are Engineering Controls; deed notices and groundwater Classification Exception Areas are Institutional Controls under N.J.A.C. 7:26C requiring a Remedial Action Permit, periodic inspection, groundwater sampling and biennial protectiveness certification (BRDN-001) in perpetuity. The deed notice extent is a public mapped GIS layer that any homesite buyer can find.",TP-04-CUMBERLAND,High,High,Adjudicated,"Survey the deed-notice extent and design every structure and every foot of pavement outside it — the CSV already flags that the cap cannot carry pavement. Carry Remedial Action Permit compliance, monitoring and biennial certification as a PERPETUAL OPEX line, not a one-time cost. The obligations run with the land; there is no cure, only compliance.",50000,150000,"Gate 3 — before alignment is fixed; then annually as opex for the life of the hold.",https://nj.gov/dep/srp/forms/deed_notice/brdn001.htm
RR-17,Operating,"Participant fatality and negligent-track-design liability. At SPEEDVEGAS two people died in 2017 when a Lamborghini Aventador struck a wall and burned; the coroner found the instructor died on impact and the customer died in the fire. The track closed 12 days and reopened. A driving instructor separately sued seeking a COURT ORDER CLOSING THE TRACK until safety protocols and a track redesign were implemented, alleging the track was inherently, excessively and unnecessarily dangerous in design and operation and that brakes were not properly maintained; settled confidentially. The Sherwood estate's wrongful-death case reached jury trial in May 2022 (verdict amount not sourced — do not quote one). The theory that reaches the owner is negligent track design, and it survives a signed waiver because it is not a risk the participant assumed.",ALL,Severe,Moderate,Adjudicated,"Commission a named independent expert review of run-off, barrier geometry, wall placement and fire response at design stage and retain the report. This is an engineering fee, not an insurance premium, and it is the difference between a defensible design and an indefensible one. Written maintenance logs for any club-owned fleet. Confirm participant legal liability is written with a separate limit, not as a GL extension.",75000,250000,"Gate 3 — design development, before the circuit geometry is committed.",https://www.reviewjournal.com/business/speedvegas-driving-instructor-sues-to-close-las-vegas-track/
RR-18,Operating,"Insurance line plausibility. The model carries $1,092,000 of annual insurance — 12.2% of the $8.946M stabilized opex and $3,212 per member at the 340 cap. Insurable structures and contents on the retained club total approximately $40.3M from the config's own hard costs, or approximately $77M if circuit pavement and site infrastructure are scheduled at cost. At commercial property base rates of $0.30-$0.80 per $100 TIV the property component is roughly $120k-$620k, leaving $470k-$970k for general liability, participant legal liability, excess, liquor, D&O, hired/non-owned auto and garage-condo bailee. Plausible in aggregate but tight, and loss history in this class is adverse. Aggregator quotes of $97-$139/month for $1M/$2M racetrack GL describe a karting operator, not this asset.",ALL,Moderate,Moderate,Inferred,"Obtain a real indication from K&K, Lockton Motorsports or IGP against the actual program — track miles, member count, days of operation, event mix, whether competitive events are run, F&B, and garage-condo bailee exposure. Free call, retires an ASSUMED on the second-largest controllable opex line. Note standard auto and GL forms exclude liability arising from sponsoring or taking part in organized racing or speed contests, so coverage must be affirmatively bought; member-owned cars are not covered by the club policy and that belongs in the membership proposition.",0,0,"Gate 3 — before the IC memo. No cost; a broker call.",https://www.kandkinsurance.com/programs/motorsports-insurance/motorsports-facilities-and-racetrack-insurance
RR-19,Litigation,"Pre-opening (anticipatory) nuisance suit to enjoin construction. At Atlanta Motorsports Park adjacent horse-farm owners sued to halt construction; in Nov 2010 the court found they had failed to show reasonable certainty the park would create a nuisance, aided by expert testimony that track noise would not affect horse behaviour. In Brackett v. Moler Raceway Park the Ohio appellate court reiterated that the degree of proof required to enjoin an anticipated nuisance is clear and convincing. Plaintiffs do not clear this bar against a permitted road course.",TP-08-MARION-OCALA;TP-05-LITCHFIELD;TP-14-MAURY-QUARRY;TP-02-QUARRY-9W,Moderate,Moderate,Adjudicated,"Do not price a construction-stopping injunction — price the delay and defence cost of having to defeat one. Retain the acoustic consultant and, where an equestrian or livestock constituency exists, an animal-behaviour expert as part of the hearing record so the evidence is already built when the complaint lands.",150000,500000,"Gate 5 — hearing record; contingency through construction. Defence costs and schedule float.",https://www.dawsonnews.com/local/business/judge-allows-work-to-continue-at-park-site/
RR-20,Litigation,"Prior-use defence over-credited. Coming to the nuisance protects a facility against a plaintiff who arrived later — a new-build club is the newcomer, and in most modern courts the doctrine is one factor rather than a bar. Coventry v. Lawrence required twenty years of uninterrupted use before a right to emit could be established. The counter-example: Monticello Motor Club is a 4.1-mile road course built on a FORMER AIRPORT in rural NY and still drew a town-commissioned 2013 sound study finding serious levels on Rupp Rd with race-day increases up to 20 dB, a call for a ~$1M barrier, and a voluntary surrender of car-club and motorcycle-club event revenue. By contrast The Concours Club sits between active runways at Miami-Opa Locka, where jets emit 130 dB and the reported result is an absence of the restrictions normally imposed on tracks. A CLOSED airfield gives character evidence; an OPEN one gives a masking ambient. They are not the same asset.",TP-01-EPCAL;TP-02-QUARRY-9W;TP-03-THOMPSON;TP-06-PINAL-303;TP-11-APEX-NV;TP-14-MAURY-QUARRY,High,High,Reported,"Discount the prior-use credit at every site with a CLOSED prior use. Realise the one piece of value it does confer by measuring the pre-acquisition ambient before closing, so the incremental dB attributable to the club is provable and small. Do not represent the prior use to IC as a litigation defence; represent it as character-of-locality evidence and a favourable zoning posture.",10000,30000,"Gate 3 — pre-closing ambient survey; scoring correction at Gate 2.",https://grokipedia.com/page/monticello_motor_club
RR-21,Litigation,"Texas: no zoning means no denial risk, but also no permit shield. In Crosstex North Texas Pipeline v. Gardiner (Tex. 2016) the Texas Supreme Court held nuisance is a type of legal injury rather than a cause of action, and that a defendant may be liable for intentionally or negligently causing a condition that constitutes a nuisance with no separate finding of unreasonable use. In that case a jury found a permanent nuisance from compressor-station noise and a decline in ranch fair market value of over $2 million. In an unzoned county there is no discretionary approval to lose — and no approval to point to as a shield.",TP-07-BRAZOS-XING;TP-09-WALLER-290;TP-13-SH130,High,Moderate,Adjudicated,"In unzoned Texas counties the entire mitigation budget should go to physical separation and berming rather than to entitlement counsel, because the only forum is a jury. Acquire or covenant the buffer. Consider acquiring abutting frontage outright at TP-13, where Austin-side growth is fast and the CSV already flags a more interventionist political culture.",500000,3000000,"Gate 3 — buffer acquisition or covenant, before closing on the core parcel.",https://law.justia.com/cases/texas/supreme-court/2016/15-0049.html
RR-22,Title,"CT PA 490 conveyance tax recapture. Both CT targets are enrolled. Under C.G.S. 12-504a et seq. a change of use, sale or transfer within ten years of ownership or classification triggers a conveyance tax of 10% of fair market value in year one, declining one point per year to 1% in year ten and zero thereafter. On TP-05's $8.4M ask that is up to approximately $840,000; on TP-03's $9.8M ask up to approximately $980,000. The clock is a public record at the assessor's office.",TP-03-THOMPSON;TP-05-LITCHFIELD,Moderate,High,Adjudicated,"Confirm the classification date at the town assessor before offering. Where the clock has not run, either allocate the recapture to the seller in the contract or reduce the bid by the computed amount. This changes the bid by up to 10% and costs a phone call to establish.",0,980000,"Gate 4 — pre-offer. Assessor records check; the cure is a price adjustment.",https://www.cga.ct.gov/2017/rpt/2017-R-0160.htm
RR-23,Environmental,"Karst subsidence — quantity risk and uninsurability. Compaction grouting is the standard remedy in west-central Florida karst, injected through steel pipes drilled to the limestone and filled upward in 1-3 ft intervals, and is documented as the least costly of the available methods. Published USF/NCKRI work is specifically about the difficulty of PREDICTING compaction grout quantities in sinkhole remediation — that unpredictability is the finding. Separately, Florida insurers must offer sinkhole coverage but commercial policies commonly carry only statutory catastrophic ground collapse, with true sinkhole cover as a priced endorsement. A 4-mile ribbon of pavement is not practically insurable against subsidence.",TP-08-MARION-OCALA;TP-14-MAURY-QUARRY,High,Moderate,Reported,"Run a karst-specific geophysical program — GPR plus electrical resistivity along the proposed circuit alignment with confirmation borings — BEFORE the alignment is fixed, so the circuit is routed around anomalies rather than grouted through them. Route selection is free; grouting is not. State the pavement subsidence exposure to IC as retained. No defensible per-acre grouting cost could be sourced and none is invented here.",80000,250000,"Gate 3 — before circuit alignment is committed. Geophysics and borings; grouting itself is unpriced pending results.",https://digitalcommons.usf.edu/cgi/viewcontent.cgi?article=1010&context=sinkhole_2015
RR-24,Environmental,"Gypsiferous soils and sulfate attack. Soils around Las Vegas are documented as having very high soluble sulfate content. The engineering answer is settled: characterise exposure class per ASTM C1580, then specify ASTM C150 Type V cement (max 5% C3A). For severe exposure Type V alone is often insufficient and requires Class F fly ash at 25-35% replacement. Sulfate concentrations are not uniform across a site, so the sampling grid matters more than the mix design. The risk is specification failure, not cost — a Type-V-only spec over a severe-exposure sub-area is a 15-year durability problem on a circuit that cannot be taken out of service.",TP-11-APEX-NV,Moderate,High,Adjudicated,"Sample on a grid dense enough to catch sub-area variation, classify per ASTM C1580, and specify by exposure class rather than site-wide. Require the mix design and sulfate testing as a submittal condition. The CSV already prices a sulfate-resistant mix premium inside the $7.1M site premium; no defensible unit premium could be sourced to test it against.",30000,80000,"Gate 3 — geotechnical scope, before pavement design.",https://www.betonconsultingeng.com/how-engineers-came-to-understand-sulfate-attack/
RR-25,Environmental,"Florida panther Section 7 consultation. TP-10 sits in the panther primary zone, requiring formal USFWS consultation on a federal timeline the county special exception cannot shorten. Panther Habitat Units are transacted through mitigation banks — Big Cypress Mitigation Bank sits in southwest Hendry County and prices PHUs, with each wetland credit reported to carry 8.96 PHUs. No defensible per-acre or per-PHU price could be sourced and none is invented here. The CSV's own assessment is correct that the binding risk is the federal consultation, not the neighbours; the 24-month permitting estimate is the number to challenge.",TP-10-HENDRY-75,High,High,Reported,"Obtain a written PHU quote from Big Cypress Mitigation Bank and a pre-application meeting with USFWS South Florida Ecological Services before LOI, and reset the permitting timeline from that meeting rather than from the county process. Treat the mitigation cost as unpriced until the quote is in hand.",25000,75000,"Gate 2 — pre-LOI. Pre-application consultation and a bank quote; mitigation itself unpriced pending.",https://myfwc.com/wildlifehabitats/wildlife/panther/pes/
RR-26,Entitlement,"Wetlands ordinance as the opposition's chosen instrument. At Club Motorsports the Tamworth planning board found the application violated five of seven Section A criteria of the town's wetlands conservation ordinance; the NH Supreme Court found the board's record flawed in two respects. Construction would have dredged and filled 14,759 sq ft of wetlands, affected 16,952 sq ft of intermittent streams and touched at least sixteen distinct wetland areas. The project only proceeded after voters repealed the wetlands ordinance in 2013 — a political outcome, not a legal one. Opposition attacks through whichever local ordinance offers the most discretion, and wetlands ordinances offer the most.",TP-04-CUMBERLAND;TP-09-WALLER-290;TP-15-HARDEE-PHOS;TP-10-HENDRY-75;TP-08-MARION-OCALA;TP-03-THOMPSON,High,High,Adjudicated,"Delineate wetlands and obtain a jurisdictional determination BEFORE the circuit alignment is drawn, and design to zero or de minimis local wetland impact even where a federal or state permit would be obtainable. A design with no local wetland impact removes the opposition's best instrument. TP-09's 404 exposure on the ditch network and TP-15's 14% wetlands are the two worst.",60000,200000,"Gate 3 — delineation and JD before alignment. Design cost, not mitigation cost.",https://law.justia.com/cases/new-hampshire/supreme-court/2010/2010030motor.html
RR-27,Entitlement,"Whoever commissions the acoustic study owns the number. At Club Motorsports the TOWN'S foundation retained HMMH for a balanced evaluation, with reference measurements taken from actual race vehicles at New Hampshire International Speedway and SoundPLAN modelling of the proposed layout including earth berms; HMMH then recommended the property-line limits itself — limits allowing operation of all but the noisiest modified vehicles. That project got built. Monticello's study was commissioned by the town without the applicant's involvement and produced a finding of serious levels and a call for a $1M barrier. Palmer negotiated its own condition and then had a court tell it what the condition meant.",ALL,High,High,Reported,"Fund a neutral third-party acoustic model with reference measurements and receptor mapping BEFORE application, and structure it so the municipality is the client or a co-client. Propose the property-line limit yourself, derived from that model. A limit the town's own consultant recommended is a limit that is hard to tighten later. This sits inside the existing $3.5M entitlement budget, which already names a noise study — do not economise on it.",120000,350000,"Gate 3 — pre-application, before any hearing. Acoustic consultant scope.",https://hmmh.com/projects/club-motorsports-racetrack/
RR-28,Operating,"In-house sound enforcement is the cheapest compliance mechanism and the record turns on it. The Palmer court's finding was that mitigation may keep the park within Condition #10's limits IF physical barriers are continuously maintained AND track-side monitoring and black flagging are continuously ENFORCED. Facility-level vehicle sound limits of 103 dB are reported at both Thompson Speedway and Atlanta Motorsports Park; the measurement point is unverified in both cases and neither figure should be carried into a proforma or an application.",ALL,Moderate,High,Adjudicated,"Write a published vehicle sound limit into the club by-laws with a calibrated meter at a fixed station and a written black-flag and ejection protocol, enforced without exception from day one. Capital cost is a meter and a station; operating cost is one trained marshal. Do NOT adopt a numeric limit until the property-line requirement is established by the site's own acoustic model — per CLAUDE.md, an unpublished ordinance is a phone call, not a number.",15000,60000,"Gate 5 — by-laws drafted before certificate of occupancy; enforced from day one of operations.",http://masscases.com/cases/land/2021/2021-17-000493-DEC.html
